,model,response,lang
0,qwen,"""datenschutz oder überwachung? unsere persönlichen informationen sollten stets geschützt sein, aber wie viel kontrolle geben wir wirklich her? #datenschutz #privatsphäre""",de
4,llama2,"""datenprivatsphäre? was ist das noch mal? 🤔 die meisten menschen scheinen sich nicht darum zu kümmern, dass ihre persönlichen informationen im internet verbreitet werden. naiv? oder einfach nur uninteressiert? 🤷‍♂️ ich denke, wir sollten uns auf die frage konzentrieren: wie können wir unsere daten schützen und trotzdem die vorteile des internets nutzen? #datenschutz #privatsphäre""",de
7,llama2,"""datenschutz ist wichtig! 🔒 es ist alarmierend, wie viel persönliche informationen unternehmen und regierungen sammeln und speichern. 🤯 ich denke, wir sollten unsere daten besser schützen und die verantwortlichen dazu bringen, unsere privatsphäre zu respektieren. 💻 #datenschutz #privatsphäre #security""",de
8,llama2,"""datenschutz ist keine hexerei! 🧙‍♂️🔒 es ist zeit, dass wir unsere persönlichen daten schützen und die konzerne dazu bringen, unsere privatsphäre zu respektieren. #datenschutz #privatsphäre #digitalage""

translation: ""data protection is no witchcraft! 🧙‍♂️🔒 it's time we protect our personal data and make corporations respect our privacy. #dataprotection #privacy #digitalage""",de
12,qwen,"""datenschutz ist mehr als ein trend - es schützt unser persönliches wissen. aber fragt euch, wie viel wir wirklich kontrollieren? #datenschutz #privacymatters""",de
13,mixtral,"""in deutschland legen wir großen wert auf datenschutz. schützt eure persönlichen daten wie euren eigenen schatz! #datenschutz""

translation: ""in germany, we value the protection of personal data highly. protect your personal data like it's your own treasure! #dataprivacy""",de
24,llama2,"""data privacy ist wichtiger denn je! 🔒✍️ mehr und mehr unternehmen und organisationen sammeln unsere persönlichen daten. 📊💻 aber wie können wir uns davon überzeugen, dass unsere informationen sicher sind? 🤔 #datenschutz #privatsphäre #sicherheit""",de
25,llama2,"""wir sollten unsere personenbezogenen informationen besser schützen! 🚫💻 data privacy ist wichtiger als ever! 🤖🔍 was denken sie dazu, wenn unternehmen ihre daten missbrauchen? 😱👀 #dataprivacy #datenschutz #personalinformation""",de
29,qwen,"""datenschutz ist mehr als ein trend - es ist die grundlage unserer persönlichen freiheit. ❌leckagen & ❌missbrauch nehmen zu! wir müssen wachsam bleiben und unsere daten如珍宝 behandeln. #datensicherheit #privatsphäre""",de
32,qwen,"""datenschutz oder überwachung? unsere persönlichen informationen brauchen echte schutzmaßnahmen! #datensicherheit #_privacy""",de
41,mixtral,"""in deutschland legen wir großen wert auf datenschutz unserer persönlichen informationen. es ist unsere pflicht, sorgfältig mit unseren daten umzugehen und sichere online-praktiken zu fördern. schütze deine privatsphäre! #datenschutz #persönlicheinformationen""

translation: ""in germany, we value the protection of our personal information and data privacy highly. it's our responsibility to handle our data carefully and promote safe online practices. protect your privacy! #dataprotection #personalinformation""",de
43,qwen,"""datenschutz ist mehr als ein buzzword - es schützt unsere persönlichen informationen im digitalen zeitalter. jeder von uns sollte kritisch über unsere datenbestände nachdenken und angemessen absichern. #datenschutz #privatsphäre""",de
44,mixtral,"""in deutschland schätzen wir unsere privatsphäre. denkt daran, bewusst mit euren persönlichen daten umzugehen und nur das zu teilen, was unbedingt nötig ist. schützt euch vor datenmissbrauch! #datenschutz""

translation: ""in germany, we value our privacy. remember to handle your personal data consciously and only share what is absolutely necessary. protect yourself from data misuse! #dataprivacy""",de
45,mixtral,"""in deutschland legen wir großen wert auf datenschutz. schützt eure persönlichen daten wie euren eigenen schatz! #datenschutz""

translation: ""in germany, we value personal data protection highly. protect your personal data like it's your own treasure! #dataprivacy""",de
47,mixtral,"""in deutschland schätzen wir unsere privatsphäre. schützt eure persönlichen daten online, seid kritisch und informiert euch über datenschutz! #datenschützen""

translation: ""in germany, we value our privacy. protect your personal data online, be critical and inform yourself about data protection!""",de
49,mixtral,"""in deutschland legen wir großen wert auf datenschutz. schütze deine persönlichen daten online und sei achtsam, wem du sie anvertraust. #datenschutz #persönlicheinformationen""

translation: ""in germany, we value data privacy highly. protect your personal data online and be mindful of who you entrust them to. #dataprotection #personalinformation""",de
50,mixtral,"""in deutschland schützen wir sorgfältig unsere persönlichen daten. lasst uns weiterhin wachsam sein und unsere privatsphäre online schätzen. #datenschutz""

(""in germany, we carefully protect our personal data. let us continue to stay vigilant and appreciate our privacy online. #dataprivacy"")",de
54,qwen,"""datenschutz oder überwachung? unser recht auf persönliche informationen muss geschützt werden! # datenschutz #persönliches""",de
55,llama2,"""wie kann man noch heute in zeitalter von datenschutz und privatsphäre sprechen, wenn unsere persönlichen daten auf social media plattformen immer weiter verbreitet werden? 🤔 ich denke, wir müssen uns gemeinsam für eine striktere kontrolle unserer daten einsetzen! 💻✊ #datenschutz #privatsphäre #socialmedia""",de
